"TreeID","species","SPlocation","Score","Date","Year","JulianDay"
1,"quercus.robur","Rookery slope","2",2013-04-21,"2013",111
1,"quercus.robur","Rookery slope","2",2021-04-09,"2021",99
1,"quercus.robur","Rookery slope","2",2011-04-03,"2011",93
1,"quercus.robur","Rookery slope","2",2009-04-02,"2009",92
1,"quercus.robur","Rookery slope","2",2010-04-13,"2010",103
1,"quercus.robur","Rookery slope","2",2022-04-04,"2022",94
2,"quercus.robur","Rookery slope","2",2023-04-18,"2023",108
2,"quercus.robur","Rookery slope","2",2008-04-14,"2008",105
2,"quercus.robur","Rookery slope","2",2009-03-30,"2009",89
2,"quercus.robur","Rookery slope","2",2021-04-21,"2021",111
2,"quercus.robur","Rookery slope","2",2013-04-28,"2013",118
2,"quercus.robur","Rookery slope","2",2022-04-11,"2022",101
2,"quercus.robur","Rookery slope","2",2010-04-17,"2010",107
2,"quercus.robur","Rookery slope","2",2012-03-30,"2012",90
2,"quercus.robur","Rookery slope","2",2016-04-13,"2016",104
3,"quercus.robur","Rookery slope","2",2013-05-02,"2013",122
3,"quercus.robur","Rookery slope","2",2007-04-06,"2007",96
3,"quercus.robur","Rookery slope","2",2011-04-07,"2011",97
3,"quercus.robur","Rookery slope","2",2009-04-18,"2009",108
3,"quercus.robur","Rookery slope","2",2016-04-23,"2016",114
3,"quercus.robur","Rookery slope","2",2017-04-13,"2017",103
3,"quercus.robur","Rookery slope","2",2022-04-20,"2022",110
4,"quercus.robur","Rookery slope","2",2021-04-09,"2021",99
4,"quercus.robur","Rookery slope","2",2007-04-04,"2007",94
4,"quercus.robur","Rookery slope","2",2015-04-10,"2015",100
4,"quercus.robur","Rookery slope","2",2018-04-16,"2018",106
4,"quercus.robur","Rookery slope","2",2013-04-24,"2013",114
4,"quercus.robur","Rookery slope","2",2022-04-04,"2022",94
4,"quercus.robur","Rookery slope","2",2012-03-24,"2012",84
5,"quercus.robur","Rookery slope","2",2010-04-11,"2010",101
5,"quercus.robur","Rookery slope","2",2022-04-04,"2022",94
5,"quercus.robur","Rookery slope","2",2012-03-24,"2012",84
5,"quercus.robur","Rookery slope","2",2007-04-02,"2007",92
5,"quercus.robur","Rookery slope","2",2021-04-09,"2021",99
5,"quercus.robur","Rookery slope","2",2018-04-16,"2018",106
5,"quercus.robur","Rookery slope","2",2011-04-03,"2011",93
6,"quercus.robur","Elm slope","2",2009-04-10,"2009",100
6,"quercus.robur","Elm slope","2",2013-04-28,"2013",118
6,"quercus.robur","Elm slope","2",2008-04-07,"2008",98
6,"quercus.robur","Elm slope","2",2011-04-05,"2011",95
6,"quercus.robur","Elm slope","2",2007-04-06,"2007",96
